service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,1,0,0,20181015,20181216
3,0,0,0,0,0,1,0,20181015,20181216
4,0,0,0,0,0,0,1,20181015,20181216
5,0,0,0,1,0,0,0,20181015,20181216
9,0,0,1,0,0,0,0,20181015,20181216
10,0,1,0,0,0,0,0,20181015,20181216
16,1,0,0,0,0,0,0,20181015,20181216
18,0,0,0,0,0,0,0,20181015,20181216
20,0,0,0,0,0,0,0,20181015,20181216
21,0,0,0,0,0,0,0,20181015,20181216
22,0,0,0,0,0,0,0,20181015,20181216
23,0,0,0,0,0,0,0,20181015,20181216
24,0,0,0,0,0,0,0,20181015,20181216
25,0,0,0,0,0,0,0,20181015,20181216
26,0,0,0,0,0,0,0,20181015,20181216
27,0,0,0,0,0,0,0,20181015,20181216
